,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
400,0.005,Rattachés et meulés,7.279,0.4998,0.0445,0.013720000000000001,EN 10270-3-1.4310,F,236.0,0.002378,0.0005,18.5,vd-074,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.01107
401,0.0165,Rattachés et meulés,424.446,23.0048,0.051,0.0338,EN 10270-1,M,24677.0,0.0074,0.0029,6.5,d-288x-06,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.0064800000000000005
402,0.0033,Rattachés et meulés,9.878,0.1207,0.008,0.00443,EN 10270-3-1.4310,F,2767.0,0.0013640000000000002,0.0005,5.5,vd-080f,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.0014199999999999998
403,0.029,Rattachés et meulés,812.087,197.964,0.127,0.08354,EN 10270-3-1.4310,AG,18686.0,0.010166999999999999,0.005,12.0,vd-359a-05,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.01447
404,0.0029,Rattachés,2.557,0.0535,0.012,0.00452,EN 10270-3-1.4310,D,342.0,0.001324,0.0003,8.5,vd-026r-12,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.00304
405,0.0444,Rattachés et meulés,236.977,179.5677,0.28,0.08241,EN 10270-3-1.4310,AH,1199.0,0.019743,0.0036,14.0,vd-313e-14,"{1: 11.7, 75: 2.07, 3: 5.94, 37: 2.16, 17: 2.61, 250: 1.92, 7: 4.12, 125: 2.01, 350: 1.86, 175: 1.98}",0.07037
406,0.0072,Rattachés et meulés,23.862,1.3032,0.0416,0.01492,EN 10270-1,D,894.0,0.003264,0.0008,12.5,d-127e-05,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.011949999999999999
407,0.08,Rattachés et meulés,589.834,1517.2508,0.72,0.22704,EN 10270-3-1.4310,AY,1197.0,0.03172,0.0063,22.5,vd-369a,"{1: 15.9, 75: 6.32, 3: 10.3, 37: 6.47, 17: 7.76, 250: 5.83, 7: 8.87, 125: 6.25, 350: 5.61, 175: 6.07}",0.20803
408,0.0012,Rattachés,0.283,0.0018,0.0038,0.00116,EN 10270-1,D,107.0,0.0006450000000000001,0.0001,5.5,d-2001,"{1: 2.65, 450: 0.11, 37: 0.47, 17: 0.74, 7: 1.6, 250: 0.16, 75: 0.31, 125: 0.24, 350: 0.12, 175: 0.19}",0.0009
409,0.034,Rattachés et meulés,218.921,44.7613,0.0871,0.02975,EN 10270-1,M,3817.0,0.015291,0.003,5.5,d-288z-12,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.02888
