,B,Bague_depaulement,C,C0,C2,D,D1,D3,Da_max,Da_min,Db_min,EF,Mass,Pu,Vmax,Vref,Y,b,b1,d,d1,da_max,da_min,db_min,e,h,kr,name,r12_min,r34_min,ra_max,rb_max,s_max
42,0.04445,0,391000.0,440000.0,0.0,0.2159,0.0,0.0,0.199,0.189,0.0,0.1915,8.0,51000.0,397.93506945470716,314.1592653589793,0.6,0.0,0.0,0.1016,0.1395,0.188,0.11900000000000001,0.0,0.2,0.0,0.0,CRM_32_AMB,0.004,0.004,0.003,0.003,0.002
43,0.0508,0,468000.0,540000.0,0.0,0.238125,0.0,0.0,0.218,0.213,0.0,0.211,11.0,61000.0,356.0471674068432,272.2713633111154,0.6,0.0,0.0,0.1143,0.1556,0.20800000000000002,0.134,0.0,0.2,0.0,0.0,CRM_36_AMB,0.0048,0.0048,0.004,0.004,0.002
44,0.0508,0,484000.0,585000.0,0.0,0.254,0.0,0.0,0.234,0.225,0.0,0.223,12.0,65500.0,335.1032163829113,272.2713633111154,0.6,0.0,0.0,0.127,0.1685,0.22,0.147,0.0,0.2,0.0,0.0,CRM_40_AMB,0.0048,0.0048,0.004,0.004,0.002
45,0.012,0,20000.0,14300.0,0.0,0.04,0.0,0.0,0.0371,0.037,0.0,0.0351,0.066,1730.0,2303.8346126325146,2094.3951023931954,0.6,0.0,0.0,0.017,0.025,0.033,0.0207,0.0,0.2,0.0,0.12,N_203_ECP,0.0006,0.0003,0.0006,0.0003,0.001
46,0.012,0,20000.0,14300.0,0.0,0.04,0.0,0.0,0.0371,0.037,0.0,0.0351,0.065,1730.0,2303.8346126325146,2094.3951023931954,0.6,0.0,0.0,0.017,0.025,0.033,0.0207,0.0,0.2,0.0,0.12,N_203_ECPH,0.0006,0.0003,0.0006,0.0003,0.001
47,0.014,0,28500.0,22000.0,0.0,0.047,0.0,0.0,0.043500000000000004,0.043000000000000003,0.0,0.0415,0.11,2750.0,1989.6753472735356,1780.235837034216,0.6,0.0,0.0,0.02,0.0297,0.04,0.025,0.0,0.2,0.0,0.12,N_204_ECP,0.001,0.0006,0.001,0.0006,0.001
48,0.015,0,32500.0,27000.0,0.0,0.052000000000000005,0.0,0.0,0.0485,0.048,0.0,0.0465,0.13,3350.0,1675.5160819145563,1570.7963267948967,0.6,0.0,0.0,0.025,0.0347,0.045,0.0299,0.0,0.2,0.0,0.12,N_205_ECP,0.001,0.0006,0.001,0.0006,0.0013000000000000002
49,0.016,0,44000.0,36500.0,0.0,0.062,0.0,0.0,0.058100000000000006,0.057,0.0,0.0555,0.23,4500.0,1466.0765716752367,1361.356816555577,0.6,0.0,0.0,0.03,0.0412,0.054,0.0353,0.0,0.2,0.0,0.12,N_206_ECM,0.001,0.0006,0.001,0.0006,0.0013000000000000002
50,0.016,0,44000.0,36500.0,0.0,0.062,0.0,0.0,0.058100000000000006,0.057,0.0,0.0555,0.2,4500.0,1466.0765716752367,1361.356816555577,0.6,0.0,0.0,0.03,0.0412,0.054,0.0353,0.0,0.2,0.0,0.12,N_206_ECP,0.001,0.0006,0.001,0.0006,0.0013000000000000002
51,0.017,0,56000.0,48000.0,0.0,0.07200000000000001,0.0,0.0,0.06720000000000001,0.066,0.0,0.064,0.35,6100.0,1256.6370614359173,1151.9173063162573,0.6,0.0,0.0,0.035,0.048100000000000004,0.062,0.0418,0.0,0.2,0.0,0.12,N_207_ECM,0.0011,0.0006,0.001,0.0006,0.0013000000000000002
